Model,Base Clock,Boost Clock,Memory Clock,Memory Size,Memory Type,Memory Bus,Bandwidth,TDP,L1 Cache,L2 Cache,Shading Units,FP32 (float),Hashrate,AI Cores
firepro m3900,,,900.0,1024.0,GDDR3,64.0,14.4,20.0,8.0,128.0,160.0,240.0,,
firepro rg220,,,800.0,512.0,GDDR3,256.0,51.2,35.0,,,80.0,80.0,,
firepro rg220a,,,800.0,512.0,GDDR3,256.0,51.2,35.0,,,80.0,80.0,,
firestream 9350,,,1000.0,2048.0,GDDR5,256.0,128.0,150.0,8.0,512.0,1440.0,2016.0,,
firestream 9370,,,1150.0,4096.0,GDDR5,256.0,147.2,225.0,8.0,512.0,1600.0,2640.0,,
radeon hd 6250 igp,,,,System Shared,System Shared,,System Dependent,9.0,,,80.0,80.0,,0.0
radeon hd 6310 igp,,,,System Shared,System Shared,,System Dependent,18.0,,,80.0,44.16,,0.0
radeon hd 6310 igp,,,,System Shared,System Shared,,System Dependent,18.0,,,80.0,78.08,,0.0
radeon hd 6330m,,,800.0,1024.0,GDDR3,64.0,12.8,7.0,8.0,128.0,80.0,80.0,,0.0
radeon hd 6350m,,,800.0,1024.0,GDDR3,64.0,12.8,7.0,8.0,128.0,80.0,80.0,,0.0
radeon hd 6370m,,,800.0,1024.0,GDDR3,64.0,12.8,11.0,8.0,128.0,80.0,120.0,,0.0
radeon hd 6530m,,,900.0,1024.0,DDR3,128.0,28.8,26.0,8.0,256.0,400.0,360.0,,0.0
radeon hd 6550m,,,900.0,1024.0,DDR3,128.0,28.8,26.0,8.0,256.0,400.0,520.0,,0.0
radeon hd 6550m,,,900.0,1024.0,DDR3,128.0,28.8,26.0,8.0,256.0,400.0,480.0,,0.0
radeon hd 6570m,,,800.0,1024.0,GDDR3,128.0,25.6,30.0,8.0,256.0,400.0,520.0,,0.0
radeon hd 6850,,,1000.0,1024.0,GDDR5,256.0,128.0,127.0,8.0,512.0,960.0,1488.0,,0.0
radeon hd 6870,,,1050.0,1024.0,GDDR5,256.0,134.4,151.0,8.0,512.0,1120.0,2016.0,,0.0
radeon hd 6950,,,1250.0,2048.0,GDDR5,256.0,160.0,200.0,8.0,512.0,1408.0,2253.0,,0.0
radeon hd 6970,,,1375.0,2048.0,GDDR5,256.0,176.0,250.0,8.0,512.0,1536.0,2703.0,,0.0
firepro 2270,,,600.0,512.0,GDDR3,64.0,9.6,15.0,8.0,128.0,80.0,96.0,,
firepro 2270 pcie x1,,,600.0,512.0,GDDR3,64.0,9.6,15.0,8.0,128.0,80.0,96.0,,
firepro m5950,,,900.0,1024.0,GDDR5,128.0,57.6,35.0,8.0,256.0,480.0,696.0,,
firepro m8900,,,900.0,2048.0,GDDR5,256.0,115.2,75.0,8.0,512.0,960.0,1305.6,,
firepro v4900,,,1000.0,1024.0,GDDR5,128.0,64.0,75.0,8.0,256.0,480.0,768.0,,
