Model,Release Date_x,Hashrate,Model_clean,Release_Date_x,Matched_Product_Name,fuzzy_score,Product Name,Architecture,Release Date_y,Base Clock,Boost Clock,Memory Clock,Memory Size,Memory Type,Memory Bus,Bandwidth,TDP,L1 Cache,L2 Cache,Shading Units,CUDA,FP32 (float),Tensor Cores,BF16,TF32,Product_Name_clean,Release_Date_y,Date_match
GeForce GTX 1050 Ti,Oct 2016,200.00 h/s,gtx 1050 ti,2016-10-17,gtx 1050 ti,100.0,GeForce GTX 1050 Ti,Pascal,"Oct 25th, 2016",nan,nan,1752 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,gtx 1050 ti,2016-10-25 00:00:00,True
GeForce GTX 1660 Ti,Feb 2019,580.00 h/s,gtx 1660 ti,2019-02-17,gtx 1660 ti,100.0,GeForce GTX 1660 Ti,Turing,"Feb 22nd, 2019",nan,nan,1500 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,gtx 1660 ti,2019-02-22 00:00:00,True
GeForce GTX 1660 Super,Oct 2019,530.00 h/s,gtx 1660 super,2019-10-17,gtx 1660 super,100.0,GeForce GTX 1660 SUPER,Turing,"Oct 29th, 2019",nan,nan,1750 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,gtx 1660 super,2019-10-29 00:00:00,True
GeForce GTX 1660,Mar 2019,530.00 h/s,gtx 1660,2019-03-17,gtx 1660,100.0,GeForce GTX 1660,Turing,"Mar 14th, 2019",nan,nan,2001 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,gtx 1660,2019-03-14 00:00:00,True
Radeon RX 580 8GB,Apr 2017,470.00 h/s,rx 580 8gb,2017-04-17,rx 580g,82.35294117647058,Radeon RX 580G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rx 580g,,True
GeForce RTX 2060,Jan 2019,600.00 h/s,rtx 2060,2019-01-17,rtx 2060,100.0,GeForce RTX 2060,Turing,"Jan 7th, 2019",nan,nan,1750 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 2060,2019-01-07 00:00:00,True
GeForce RTX 2060,Jan 2019,600.00 h/s,rtx 2060,2019-01-17,rtx 2060,100.0,GeForce RTX 2060 Mobile,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 2060,,True
GeForce GTX 1080,May 2016,700.00 h/s,gtx 1080,2016-05-17,gtx 1080,100.0,GeForce GTX 1080,Pascal,"May 27th, 2016",nan,nan,1251 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,gtx 1080,2016-05-27 00:00:00,True
GeForce GTX 1070,Jun 2016,560.00 h/s,gtx 1070,2016-06-17,gtx 1070,100.0,GeForce GTX 1070,Pascal,"Jun 10th, 2016",nan,nan,2002 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,gtx 1070,2016-06-10 00:00:00,True
GeForce GTX 1070,Jun 2016,560.00 h/s,gtx 1070,2016-06-17,gtx 1070,100.0,GeForce GTX 1070 Mobile,Pascal,"Aug 15th, 2016",nan,nan,2002 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,gtx 1070,2016-08-15 00:00:00,True
GeForce RTX 2070,Oct 2018,700.00 h/s,rtx 2070,2018-10-17,rtx 2070,100.0,GeForce RTX 2070,Turing,"Oct 17th, 2018",nan,nan,1750 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 2070,2018-10-17 00:00:00,True
GeForce RTX 2070,Oct 2018,700.00 h/s,rtx 2070,2018-10-17,rtx 2070,100.0,GeForce RTX 2070 Mobile,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 2070,,True
Radeon RX Vega 56,Aug 2017,1.04 kh/s,rx vega 56,2017-08-17,rx vega 56,100.0,Radeon RX Vega 56,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rx vega 56,,True
GeForce RTX 2080,Sep 2018,1.00 kh/s,rtx 2080,2018-09-17,rtx 2080,100.0,GeForce RTX 2080,Turing,"Sep 20th, 2018",nan,nan,1750 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 2080,2018-09-20 00:00:00,True
GeForce RTX 2080,Sep 2018,1.00 kh/s,rtx 2080,2018-09-17,rtx 2080,100.0,GeForce RTX 2080 Mobile,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 2080,,True
Radeon RX Vega 64,Aug 2017,1.16 kh/s,rx vega 64,2017-08-17,rx vega 64,100.0,Radeon RX Vega 64,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rx vega 64,,True
GeForce RTX 3070,Oct 2020,1.03 kh/s,rtx 3070,2020-10-17,rtx 3070,100.0,GeForce RTX 3070,Ampere,"Sep 1st, 2020",nan,nan,1750 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 3070,2020-09-01 00:00:00,True
GeForce GTX 1080 Ti,Mar 2017,1.03 kh/s,gtx 1080 ti,2017-03-17,gtx 1080 ti,100.0,GeForce GTX 1080 Ti,Pascal,"Mar 10th, 2017",nan,nan,1376 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,gtx 1080 ti,2017-03-10 00:00:00,True
Radeon VII,Feb 2019,1.40 kh/s,vii,2019-02-17,vii,100.0,Radeon VII,GCN 5.1,"Feb 7th, 2019",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,vii,2019-02-07 00:00:00,True
Radeon VII,Feb 2019,1.40 kh/s,vii,2019-02-17,vii,100.0,(Radeon VII),PCIe 3.0 x16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,vii,,True
GeForce RTX 2080 Ti,Sep 2018,1.38 kh/s,rtx 2080 ti,2018-09-17,rtx 2080 ti,100.0,GeForce RTX 2080 Ti,Turing,"Sep 20th, 2018",nan,nan,1750 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 2080 ti,2018-09-20 00:00:00,True
GeForce RTX 3080,Sep 2020,1.50 kh/s,rtx 3080,2020-09-17,rtx 3080,100.0,GeForce RTX 3080,Ampere,"Sep 1st, 2020",nan,nan,1188 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 3080,2020-09-01 00:00:00,True
GeForce RTX 3090,Sep 2020,2.00 kh/s,rtx 3090,2020-09-17,rtx 3090,100.0,GeForce RTX 3090,Ampere,"Sep 1st, 2020",nan,nan,1219 MHz,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx 3090,2020-09-01 00:00:00,True
Radeon RX 6600,Oct 2021,28.50 Mh/s,rx 6600,2021-10-17,rx 6600,100.0,Radeon RX 6600,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rx 6600,,True
Radeon RX 6650 XT,May 2022,27.00 Mh/s,rx 6650 xt,2022-05-17,rx 6650 xt,100.0,Radeon RX 6650 XT,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rx 6650 xt,,True
Radeon RX 6600 XT,Aug 2021,32.00 Mh/s,rx 6600 xt,2021-08-17,rx 6600 xt,100.0,Radeon RX 6600 XT,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rx 6600 xt,,True
RTX A2000 6GB (*),Aug 2021,39.00 Mh/s,rtx a2000 6gb,2021-08-17,rtx a2000,81.81818181818181,RTX A2000,Ampere,"Aug 10th, 2021",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,rtx a2000,2021-08-10 00:00:00,True
