Start,End,Open,High,Low,Close,Volume,Market Cap
2025-08-01,2025-08-02,20.6273,20.6273,19.5066,19.8422,1104765100.2090592,3080850243.794425
2025-07-31,2025-08-01,21.3836,21.8223,20.6408,20.6408,688581816.6898955,3282272113.3344946
2025-07-30,2025-07-31,21.7593,21.9027,20.7985,21.4213,719453536.4355401,3276152064.087108
2025-07-29,2025-07-30,21.8677,22.3816,21.5454,21.7824,807510369.3728223,3358427851.3763065
2025-07-28,2025-07-29,23.2378,23.7014,21.8156,21.8273,863314646.728223,3476065045.8292685
2025-07-27,2025-07-28,22.777,23.3516,22.5509,23.2402,702873640.5818815,3512047522.9616723
2025-07-26,2025-07-27,22.655,23.2741,22.5146,22.8142,780545888.3240418,3497124611.121951
2025-07-25,2025-07-26,22.1868,22.6999,21.5866,22.6748,898923971.6933798,3387134571.3937283
2025-07-24,2025-07-25,22.4914,23.1867,21.4901,22.2943,1221937536.1811848,3453334901.6480837
2025-07-23,2025-07-24,24.1434,24.3998,22.1237,22.5465,1183138652.7142856,3552752702.303136
2025-07-22,2025-07-23,23.9751,24.4536,23.05,24.2379,1266467033.1986063,3621215036.825784
2025-07-21,2025-07-22,24.5806,24.8462,23.669,24.0332,1590226863.1602788,3716946202.6062717
2025-07-20,2025-07-21,24.5285,25.3587,24.0148,24.6285,2040387072.9198606,3786206093.1672473
2025-07-19,2025-07-20,23.0335,25.4987,22.5091,24.1857,2927227971.7874565,3643194013.4634147
2025-07-18,2025-07-19,20.2837,24.7492,20.2165,22.9936,2318128258.3972125,3513288078.456446
2025-07-17,2025-07-18,19.9089,20.346,19.3942,20.273,962933907.2055749,3030998309.7665505
2025-07-16,2025-07-17,18.975,20.2721,18.8882,19.8202,919237236.3484321,2994913851.348432
2025-07-15,2025-07-16,18.5125,19.0289,17.8531,19.007,670620430.8013937,2785255401.456446
2025-07-14,2025-07-15,18.4421,19.2438,18.3951,18.5261,643485225.8536586,2865663949.264808
2025-07-13,2025-07-14,18.1328,18.6471,18.1063,18.4642,537118931.8989547,2801413609.8850174
2025-07-12,2025-07-13,18.2677,18.5024,17.7997,18.1224,643480605.0940766,2783901916.6027875
2025-07-11,2025-07-12,18.4772,18.854,18.0905,18.2637,753889642.0278746,2834419836.609756
2025-07-10,2025-07-11,17.674,18.5137,17.5138,18.487,530766020.1567944,2711972121.1533103
2025-07-09,2025-07-10,16.9348,17.748,16.8103,17.668,489380534.5121951,2620494829.243902
2025-07-08,2025-07-09,16.6017,16.9887,16.3643,16.9269,489254693.5714286,2540009093.9059234
2025-07-07,2025-07-08,16.6378,16.7793,16.4035,16.539,417600908.0105263,2532451884.733333
2025-07-06,2025-07-07,16.3639,16.8487,16.2785,16.655,374604449.37979096,2513905744.3972125
2025-07-05,2025-07-06,16.2884,16.4662,16.1342,16.3653,363653484.4390244,2488786289.2996516
2025-07-04,2025-07-05,16.9773,16.9925,16.1287,16.3062,393553622.70383275,2523249234.56446
2025-07-03,2025-07-04,16.9661,17.2614,16.8681,16.972,469726737.6271777,2602531605.4843206
2025-07-02,2025-07-03,15.9724,17.1399,15.9395,16.9706,432790602.79094076,2514912688.30662
2025-07-01,2025-07-02,16.6206,16.7388,15.9004,15.9583,389156460.2891986,2480247436.097561
2025-06-30,2025-07-01,16.9511,17.0042,16.4406,16.6244,431676215.4250871,2543246889.219512
2025-06-29,2025-06-30,16.2866,17.1158,16.2037,16.9932,373108009.11149824,2510937477.045296
2025-06-28,2025-06-29,16.1953,16.4623,16.1058,16.2939,394238394.9163763,2470607962.4843206
2025-06-27,2025-06-28,16.1417,16.3715,15.9498,16.1762,434704272.31358886,2462816885.7839723
2025-06-26,2025-06-27,16.2635,16.6904,16.1087,16.1393,401030907.75609756,2493051881.508711
2025-06-25,2025-06-26,16.4431,16.568,16.1858,16.2487,378646362.7944251,2499171646.9303136
2025-06-24,2025-06-25,16.5747,16.5893,16.2683,16.4094,430324734.2543554,2499257883.912892
2025-06-23,2025-06-24,15.2117,16.4724,15.18,16.4384,492658380.9860627,2373258364.1533103
2025-06-22,2025-06-23,15.5948,15.7753,14.6073,15.1966,504257901.9721254,2328402554.4982576
2025-06-21,2025-06-22,16.136,16.3527,15.4186,15.4808,438647244.4843206,2443136460.4982576
2025-06-20,2025-06-21,16.719,16.9093,15.9299,16.1256,427787074.0278746,2519381838.5261326
2025-06-19,2025-06-20,16.5571,16.7711,16.4347,16.7235,437616033.4529617,2527018004.6480837
2025-06-18,2025-06-19,16.5223,16.7264,16.1057,16.5296,460199154.4216028,2507794258.247387
2025-06-17,2025-06-18,16.951,17.1643,16.2923,16.5367,499433817.8780488,2556025004.4529614
2025-06-16,2025-06-17,16.7027,17.5035,16.5245,17.0763,446496348.72125435,2608145530.425087
2025-06-15,2025-06-16,16.6585,16.8845,16.4203,16.8278,409051552.65505224,2537047254.3170733
2025-06-14,2025-06-15,16.9157,16.989,16.5405,16.6776,456710517.0801394,2549157439.71777
2025-06-13,2025-06-14,17.0455,17.0455,16.0653,16.93,569874695.8466899,2514481250.9825783
2025-06-12,2025-06-13,18.0824,18.1062,17.114,17.1716,456623102.6933798,2692224834.261324
2025-06-11,2025-06-12,18.493,18.6797,18.0069,18.1717,482999631.78745645,2792974827.923345
2025-06-10,2025-06-11,17.8769,18.5302,17.6503,18.4631,476559426.82578397,2746481797.390244
2025-06-09,2025-06-10,16.962,17.8567,16.6634,17.8416,428493541.728223,2598126883.585366
2025-06-08,2025-06-09,17.2212,17.2238,16.8595,16.9473,426122419.1184669,2598019542.878049
2025-06-07,2025-06-08,16.7256,17.3088,16.6942,17.2834,426944301.8815331,2609041953.425087
2025-06-06,2025-06-07,16.3434,16.9779,16.2969,16.7302,482176863.66550523,2536227215.839721
2025-06-05,2025-06-06,17.3001,17.4741,16.2234,16.3472,384429700.87108016,2599232230.857143
2025-06-04,2025-06-05,17.5849,17.8246,17.2003,17.3656,376834581.14634144,2673378395.0940766
2025-06-03,2025-06-04,17.563,17.8169,17.4387,17.5859,485156689.24738675,2679035352.780488
2025-06-02,2025-06-03,17.1039,17.6067,16.8083,17.5744,346164773.68989545,2596313642.4947734
2025-06-01,2025-06-02,16.9699,17.2255,16.6751,17.1273,354477084.4285714,2576901271.508711
2025-05-31,2025-06-01,17.01,17.2298,16.5567,16.9944,436299426.554007,2572342422.43554
2025-05-30,2025-05-31,18.1584,18.2465,17.0199,17.0792,457921476.8292683,2674825216.28223
2025-05-29,2025-05-30,18.4308,19.159,18.1221,18.1531,449973216.3031359,2827827191.7874565
2025-05-28,2025-05-29,18.6364,18.8275,18.0307,18.4298,423512809.8501742,2811704011.5818815
2025-05-27,2025-05-28,18.2496,18.9748,17.9917,18.6412,447037375.9965157,2830391751.58885
2025-05-26,2025-05-27,18.3605,18.7094,18.139,18.2434,417497316.36236936,2805956886.7630663
2025-05-25,2025-05-26,18.4395,18.45,17.9422,18.3549,366770136.7456446,2761973618.285714
2025-05-24,2025-05-25,18.4678,18.8806,18.3535,18.4086,433680671.67247385,2833095166.571429
2025-05-23,2025-05-24,19.6784,20.1204,18.5073,18.609,522181942.9756098,2943225043.1463413
2025-05-22,2025-05-23,19.0731,19.8108,19.0731,19.7205,551160037.9825784,2973290364.344948
2025-05-21,2025-05-22,18.4592,19.2592,18.3333,19.1018,493681654.66550523,2836297030.773519
2025-05-20,2025-05-21,18.52726275393423,18.768864307452137,17.9913,18.4121,365611708.5151577,2790437881.243079
2025-05-19,2025-05-20,18.64182098153071,18.708284652400536,17.486287297980834,18.482948425635175,153060593.22579783,2742487241.1430674
2025-05-18,2025-05-19,18.1709,19.0636,17.8423,18.714,512617663.1533101,2799145705.9616723
2025-05-17,2025-05-18,18.7223,18.7449,18.0122,18.173,522659937.28222996,2781790146.268293
2025-05-16,2025-05-17,18.9588,19.3568,18.6783,18.7614,543647374.4355401,2900154525.324042
2025-05-15,2025-05-16,19.8686,20.0348,18.6873,18.8942,495686935.19512194,2923077809.6794424
2025-05-14,2025-05-15,20.6302,20.8607,19.7353,19.8613,545698104.3170732,3064106235.449477
2025-05-13,2025-05-14,19.7294,20.8793,19.0115,20.6784,561057850.4390244,3010617087.414634
2025-05-12,2025-05-13,19.9555,20.6828,19.2893,19.7717,502406569.9512195,3044078884.0487804
2025-05-11,2025-05-12,20.6767,20.6945,19.5459,19.9193,556794242.6132404,3033449449.4982576
2025-05-10,2025-05-11,19.2209,20.6704,19.0823,20.6704,546836854.6202091,2975968757.937282
2025-05-09,2025-05-10,18.548,19.4896,18.4027,19.179,645562773.4982579,2874741717.247387
2025-05-08,2025-05-09,16.2321,18.612,16.2321,18.5626,501044526.8501742,2642676516.268293
2025-05-07,2025-05-08,16.2726,16.459,15.8957,16.2044,411320719.6132404,2458962216.41115
2025-05-06,2025-05-07,16.0602,16.2591,15.6249,16.2515,400744671.3379791,2417304418.034843
2025-05-05,2025-05-06,16.5022,16.5785,15.9347,16.0922,280470083.24041814,2479809578.1707315
2025-05-04,2025-05-05,16.8256,16.8931,16.4843,16.4987,366699277.20905924,2539380283.735192
2025-05-03,2025-05-04,17.054,17.054,16.8011,16.8318,354107044.29268295,2566212660.891986
2025-05-02,2025-05-03,16.9475,17.1694,16.9337,17.034,369689747.271777,2585230121.020906
2025-05-01,2025-05-02,16.5875,17.0773,16.5875,16.93,369263941.68641114,2555785382.445993
2025-04-30,2025-05-01,16.7384,16.8899,16.3908,16.583,396789880.0034843,2532510678.7874565
2025-04-29,2025-04-30,17.0192,17.5072,16.7068,16.7716,410976745.9094077,2593985360.9477353
2025-04-28,2025-04-29,16.609,17.1135,16.3544,16.9983,397200430.5121951,2550020915.728223
2025-04-27,2025-04-28,17.0536,17.6413,16.6111,16.6394,433313030.7108014,2568108893.0383277
2025-04-26,2025-04-27,17.2916,17.5147,16.9443,17.0616,391478171.75958186,2604872808.7665505
