Product Name|Product Link|GPU Name|GPU Variant|Architecture|Foundry|Process Size|Transistors|Density|Die Size|Chip Package|Release Date|Generation|Predecessor|Successor|Production|Bus Interface|Reviews|GPU Clock|Memory Clock|Memory Size|Memory Type|Memory Bus|Bandwidth|Shading Units|TMUs|ROPs|Compute Units|L1 Cache|L2 Cache|Pixel Rate|Texture Rate|FP32 (float)|TDP|Outputs|DirectX|OpenGL|OpenCL|Vulkan|Shader Model|Slot Width|Length|Width|Suggested PSU|Power Connectors|Board Number|FP64 (double)|Launch Price|Height|Base Clock|Boost Clock|Announced|Weight|FP16 (half)|Storage|Inputs|Availability|Part Number|Current Price|SOC Clock|Game Clock
FirePro M3900|/gpu-specs/firepro-m3900.c2287|Seymour|Seymour GL|TeraScale 2|TSMC|40 nm|370 million|5.5M / mm²|67 mm²|FCBGA-631/962|Oct 19th, 2010|"FirePro Mobile
(Mx900)"|FirePro Mobility|Radeon Pro Mobile|End-of-life|PCIe 2.0 x16|2 in our database|750 MHz|"900 MHz
										
					1800 Mbps effective"|1024 MB|GDDR3|64 bit|14.40 GB/s|160.0|8.0|4.0|2.0|8 KB (per CU)|128 KB|3.000 GPixel/s|6.000 GTexel/s|240.0 GFLOPS|20 W|Portable Device Dependent|11.2 (11_0)|4.4|1.2||5.0|||||||||||||||||||||
FirePro RG220|/gpu-specs/firepro-rg220.c582|RV711||TeraScale|TSMC|55 nm|242 million|3.3M / mm²|73 mm²|FCBGA-631|May 4th, 2010|FirePro Remote||Radeon Sky|End-of-life|PCIe 2.0 x16|10 in our database|500 MHz|"800 MHz
										
					1600 Mbps effective"|512 MB|GDDR3|256 bit|51.20 GB/s|80.0|8.0|4.0|1.0|||2.000 GPixel/s|4.000 GTexel/s|80.00 GFLOPS|35 W|1x DMS-59|10.1 (10_1)|3.3|1.1||4.1|Single-slot|"170 mm
					6.7 inches"|"111 mm
					4.4 inches"|200 W||109-B92531-00|||||||||||||||
FirePro RG220A|/gpu-specs/firepro-rg220a.c584|RV711||TeraScale|TSMC|55 nm|242 million|3.3M / mm²|73 mm²|FCBGA-631|May 4th, 2010|FirePro Remote||Radeon Sky|End-of-life|PCIe 2.0 x16||500 MHz|"800 MHz
										
					1600 Mbps effective"|512 MB|GDDR3|256 bit|51.20 GB/s|80.0|8.0|4.0|1.0|||2.000 GPixel/s|4.000 GTexel/s|80.00 GFLOPS|35 W|1x DVI|10.1 (10_1)|3.3|1.1||4.1|Single-slot|"168 mm
					6.6 inches"|"111 mm
					4.4 inches"|200 W||109-B92531-00|||||||||||||||
FireStream 9350|/gpu-specs/firestream-9350.c1184|Cypress|Cypress PRO GL|TeraScale 2|TSMC|40 nm|2,154 million|6.4M / mm²|334 mm²||Jun 1st, 2010|FireStream|Rage GL|FireGL|End-of-life|PCIe 2.0 x16||700 MHz|"1000 MHz
										
					4 Gbps effective"|2 GB|GDDR5|256 bit|128.0 GB/s|1440.0|72.0|32.0|18.0|8 KB (per CU)|512 KB|22.40 GPixel/s|50.40 GTexel/s|2.016 TFLOPS|150 W|1x DisplayPort 1.1|11.2 (11_0)|4.4|1.2||5.0|Single-slot|"241 mm
					9.5 inches"|"111 mm
					4.4 inches"|450 W|1x 6-pin||403.2 GFLOPS (1:5)||||||||||||||
FireStream 9370|/gpu-specs/firestream-9370.c1185|Cypress|Cypress XT GL|TeraScale 2|TSMC|40 nm|2,154 million|6.4M / mm²|334 mm²||Jun 23rd, 2010|FireStream|Rage GL|FireGL|End-of-life|PCIe 2.0 x16||825 MHz|"1150 MHz
										
					4.6 Gbps effective"|4 GB|GDDR5|256 bit|147.2 GB/s|1600.0|80.0|32.0|20.0|8 KB (per CU)|512 KB|26.40 GPixel/s|66.00 GTexel/s|2.640 TFLOPS|225 W|1x DisplayPort 1.1|11.2 (11_0)|4.4|1.2||5.0|Dual-slot|"267 mm
					10.5 inches"|"111 mm
					4.4 inches"|550 W|1x 8-pin||528.0 GFLOPS (1:5)||||||||||||||
Radeon HD 6250 IGP|/gpu-specs/radeon-hd-6250-igp.c2409|Loveland||TeraScale 2|TSMC|40 nm|450 million|6.0M / mm²|75 mm²||Nov 9th, 2010|"TeraScale 2 IGP
(Palm Mobile)"|TeraScale IGP|TeraScale 3 IGP|End-of-life|IGP||500 MHz|System Shared|System Shared|System Shared|System Shared|System Dependent|80.0|8.0|4.0|2.0|||2.000 GPixel/s|4.000 GTexel/s|80.00 GFLOPS|9 W|Portable Device Dependent|11.2 (11_0)|4.4|1.2||5.0|IGP||||||||||||||||||||
Radeon HD 6310 IGP|/gpu-specs/radeon-hd-6310-igp.c2284|Loveland||TeraScale 2|TSMC|40 nm|450 million|6.0M / mm²|75 mm²||Nov 9th, 2010|"TeraScale 2 IGP
(Palm Mobile)"|TeraScale IGP|TeraScale 3 IGP|End-of-life|IGP||276 MHz|System Shared|System Shared|System Shared|System Shared|System Dependent|80.0|8.0|4.0|2.0|||1.104 GPixel/s|2.208 GTexel/s|44.16 GFLOPS|18 W|Portable Device Dependent|11.2 (11_0)|4.4|1.2||5.0|IGP||||||||||||||||||||
Radeon HD 6310 IGP|/gpu-specs/radeon-hd-6310-igp.c2286|Loveland||TeraScale 2|TSMC|40 nm|450 million|6.0M / mm²|75 mm²||Nov 9th, 2010|"TeraScale 2 IGP
(Palm Mobile)"|TeraScale IGP|TeraScale 3 IGP|End-of-life|IGP||488 MHz|System Shared|System Shared|System Shared|System Shared|System Dependent|80.0|8.0|4.0|2.0|||1.952 GPixel/s|3.904 GTexel/s|78.08 GFLOPS|18 W|Portable Device Dependent|11.2 (11_0)|4.4|1.2||5.0|IGP||||||||||||||||||||
Radeon HD 6330M|/gpu-specs/radeon-hd-6330m.c337|Robson|"Robson LP S3
										
(216-0774191)"|TeraScale 2|TSMC|40 nm|292 million|4.9M / mm²|59 mm²|FCBGA-631/962|Nov 26th, 2010|"Vancouver
(HD 6300M)"|Manhattan|London|End-of-life|PCIe 2.0 x16||500 MHz|"800 MHz
										
					1600 Mbps effective"|1024 MB|GDDR3|64 bit|12.80 GB/s|80.0|8.0|4.0|2.0|8 KB (per CU)|128 KB|2.000 GPixel/s|4.000 GTexel/s|80.00 GFLOPS|7 W|Portable Device Dependent|11.2 (11_0)|4.4|1.2||5.0|||||||||||||||||||||
Radeon HD 6350M|/gpu-specs/radeon-hd-6350m.c336|Robson|"Robson PRO S3
										
(216-0774207)"|TeraScale 2|TSMC|40 nm|292 million|4.9M / mm²|59 mm²|FCBGA-631/962|Nov 26th, 2010|"Vancouver
(HD 6300M)"|Manhattan|London|End-of-life|PCIe 2.0 x16||500 MHz|"800 MHz
										
					1600 Mbps effective"|1024 MB|GDDR3|64 bit|12.80 GB/s|80.0|8.0|4.0|2.0|8 KB (per CU)|128 KB|2.000 GPixel/s|4.000 GTexel/s|80.00 GFLOPS|7 W|Portable Device Dependent|11.2 (11_0)|4.4|1.2||5.0|||||||||||||||||||||
Radeon HD 6370M|/gpu-specs/radeon-hd-6370m.c335|Robson|"Robson XT S3
										
(216-0774207)"|TeraScale 2|TSMC|40 nm|292 million|4.9M / mm²|59 mm²|FCBGA-631/962|Nov 26th, 2010|"Vancouver
(HD 6300M)"|Manhattan|London|End-of-life|PCIe 2.0 x16||750 MHz|"800 MHz
										
					1600 Mbps effective"|1024 MB|GDDR3|64 bit|12.80 GB/s|80.0|8.0|4.0|2.0|8 KB (per CU)|128 KB|3.000 GPixel/s|6.000 GTexel/s|120.0 GFLOPS|11 W|Portable Device Dependent|11.2 (11_0)|4.4|1.2||5.0|||||||||||||||||||||
Radeon HD 6530M|/gpu-specs/radeon-hd-6530m.c330|Capilano|"Capilano LP
										
(216-0772000)"|TeraScale 2|TSMC|40 nm|627 million|6.0M / mm²|104 mm²|FCBGA-962|Nov 26th, 2010|"Vancouver
(HD 6500M)"|Manhattan|London|End-of-life|MXM-II||450 MHz|"900 MHz
										
					1800 Mbps effective"|1024 MB|DDR3|128 bit|28.80 GB/s|400.0|20.0|8.0|5.0|8 KB (per CU)|256 KB|3.600 GPixel/s|9.000 GTexel/s|360.0 GFLOPS|26 W|Portable Device Dependent|11.2 (11_0)|4.4|1.2||5.0|MXM Module||||||||||||||||||||
Radeon HD 6550M|/gpu-specs/radeon-hd-6550m.c3275|Lexington||TeraScale 2|TSMC|40 nm|2,154 million|6.4M / mm²|334 mm²||Nov 26th, 2010|"Vancouver
(HD 6500M)"|Manhattan|London|End-of-life|MXM-II||650 MHz|"900 MHz
										
					1800 Mbps effective"|1024 MB|DDR3|128 bit|28.80 GB/s|400.0|20.0|8.0|5.0|8 KB (per CU)|256 KB|5.200 GPixel/s|13.00 GTexel/s|520.0 GFLOPS|26 W|Portable Device Dependent|11.2 (11_0)|4.4|1.2||5.0|MXM Module||||||||||||||||||||
Radeon HD 6550M|/gpu-specs/radeon-hd-6550m.c329|Capilano|"Capilano PRO
										
(216-0772000)"|TeraScale 2|TSMC|40 nm|627 million|6.0M / mm²|104 mm²|FCBGA-962|Nov 26th, 2010|"Vancouver
(HD 6500M)"|Manhattan|London|End-of-life|MXM-II||600 MHz|"900 MHz
										
					1800 Mbps effective"|1024 MB|DDR3|128 bit|28.80 GB/s|400.0|20.0|8.0|5.0|8 KB (per CU)|256 KB|4.800 GPixel/s|12.00 GTexel/s|480.0 GFLOPS|26 W|Portable Device Dependent|11.2 (11_0)|4.4|1.2||5.0|MXM Module||||||||||||||||||||
Radeon HD 6570M|/gpu-specs/radeon-hd-6570m.c1211|Capilano|"Capilano XT
										
(216-0772003)"|TeraScale 2|TSMC|40 nm|627 million|6.0M / mm²|104 mm²|FCBGA-962|Nov 26th, 2010|"Vancouver
(HD 6500M)"|Manhattan|London|End-of-life|MXM-II||650 MHz|"800 MHz
										
					1600 Mbps effective"|1024 MB|GDDR3|128 bit|25.60 GB/s|400.0|20.0|8.0|5.0|8 KB (per CU)|256 KB|5.200 GPixel/s|13.00 GTexel/s|520.0 GFLOPS|30 W|Portable Device Dependent|11.2 (11_0)|4.4|1.2||5.0|MXM Module||||||||||||||||||||
Radeon HD 6850|/gpu-specs/radeon-hd-6850.c255|Barts|"Barts PRO
										
(215-0798006)"|TeraScale 2|TSMC|40 nm|1,700 million|6.7M / mm²|255 mm²|HFCBGA-1737|Oct 21st, 2010|"Northern Islands
(HD 6800)"|Evergreen|Southern Islands|End-of-life|PCIe 2.0 x16|105 in our database|775 MHz|"1000 MHz
										
					4 Gbps effective"|1024 MB|GDDR5|256 bit|128.0 GB/s|960.0|48.0|32.0|12.0|8 KB (per CU)|512 KB|24.80 GPixel/s|37.20 GTexel/s|1,488.0 GFLOPS|127 W|2x DVI1x HDMI 1.3a2x mini-DisplayPort 1.1|11.2 (11_0)|4.4|1.2||5.0|Dual-slot|"198 mm
					7.8 inches"||300 W|1x 6-pin|109-C22301-00B||179 USD|||||||||||||
Radeon HD 6870|/gpu-specs/radeon-hd-6870.c256|Barts|"Barts XT
										
(215-0798000)"|TeraScale 2|TSMC|40 nm|1,700 million|6.7M / mm²|255 mm²|HFCBGA-1737|Oct 21st, 2010|"Northern Islands
(HD 6800)"|Evergreen|Southern Islands|End-of-life|PCIe 2.0 x16|170 in our database|900 MHz|"1050 MHz
										
					4.2 Gbps effective"|1024 MB|GDDR5|256 bit|134.4 GB/s|1120.0|56.0|32.0|14.0|8 KB (per CU)|512 KB|28.80 GPixel/s|50.40 GTexel/s|2.016 TFLOPS|151 W|2x DVI1x HDMI 1.3a2x mini-DisplayPort 1.1|11.2 (11_0)|4.4|1.2||5.0|Dual-slot|"247 mm
					9.7 inches"|"111 mm
					4.4 inches"|450 W|2x 6-pin|109-C22237-00||239 USD|"36 mm
					1.4 inches"||||||||||||
Radeon HD 6950|/gpu-specs/radeon-hd-6950.c405|Cayman|"Cayman PRO
										
(215-0807019)"|TeraScale 3|TSMC|40 nm|2,640 million|6.8M / mm²|389 mm²||Dec 14th, 2010|"Northern Islands
(HD 6900)"|Evergreen|Southern Islands|End-of-life|PCIe 2.0 x16|111 in our database|800 MHz|"1250 MHz
										
					5 Gbps effective"|2 GB|GDDR5|256 bit|160.0 GB/s|1408.0|88.0|32.0|22.0|8 KB (per CU)|512 KB|25.60 GPixel/s|70.40 GTexel/s|2.253 TFLOPS|200 W|2x DVI1x HDMI 1.4a2x mini-DisplayPort 1.2|11.2 (11_0)|4.4|1.2||5.0|Dual-slot|"286 mm
					11.3 inches"|"126 mm
					5 inches"|550 W|2x 6-pin|109-C21647-00|563.2 GFLOPS (1:4)|299 USD|"42 mm
					1.7 inches"||||||||||||
