Model|Release Date|Hashrate|Price|Revenue 24h|Profit 24h
GeForce GTX 1050 Ti|Oct 2016|"200.00 h/s
                
                  RandomX · 60W"|$408.82|$0.00|-$0.14
Radeon RX 570 8GB|Apr 2017|"390.00 h/s
                
                  RandomX · 80W"|$388.99|$0.01|-$0.18
GeForce GTX 1060 6GB|Oct 2016|"350.00 h/s
                
                  RandomX · 80W"|$329.80|$0.01|-$0.19
Radeon RX 470 8GB|Aug 2016|"340.00 h/s
                
                  RandomX · 80W"||$0.01|-$0.19
GeForce GTX 1660 Ti|Feb 2019|"580.00 h/s
                
                  RandomX · 90W"|$334.95|$0.01|-$0.21
GeForce GTX 1660 Super|Oct 2019|"530.00 h/s
                
                  RandomX · 90W"|$329.99|$0.01|-$0.21
GeForce GTX 1660|Mar 2019|"530.00 h/s
                
                  RandomX · 90W"|$339.90|$0.01|-$0.21
Radeon RX 480 8GB|Jun 2016|"470.00 h/s
                
                  RandomX · 90W"|$339.99|$0.01|-$0.21
Radeon RX 580 8GB|Apr 2017|"470.00 h/s
                
                  RandomX · 90W"|$159.99|$0.01|-$0.21
GeForce RTX 2060|Jan 2019|"600.00 h/s
                
                  RandomX · 110W"|$361.14|$0.01|-$0.25
GeForce GTX 1080|May 2016|"700.00 h/s
                
                  RandomX · 120W"|$442.79|$0.01|-$0.28
GeForce GTX 1070 Ti|Nov 2016|"640.00 h/s
                
                  RandomX · 120W"|$569.99|$0.01|-$0.28
GeForce GTX 1070|Jun 2016|"560.00 h/s
                
                  RandomX · 120W"|$497.48|$0.01|-$0.28
GeForce RTX 2070|Oct 2018|"700.00 h/s
                
                  RandomX · 140W"|$389.46|$0.01|-$0.32
Radeon RX Vega 56|Aug 2017|"1.04 kh/s
                
                  RandomX · 150W"|$752.99|$0.02|-$0.34
GeForce RTX 2080|Sep 2018|"1.00 kh/s
                
                  RandomX · 150W"|$800.61|$0.02|-$0.34
Radeon RX Vega 64|Aug 2017|"1.16 kh/s
                
                  RandomX · 160W"|$749.99|$0.02|-$0.36
GeForce RTX 3070 LHR|Jun 2021|"1.03 kh/s
                
                  RandomX · 160W"||$0.02|-$0.37
GeForce RTX 3070|Oct 2020|"1.03 kh/s
                
                  RandomX · 160W"|$500.00|$0.02|-$0.37
GeForce GTX 1080 Ti|Mar 2017|"1.03 kh/s
                
                  RandomX · 160W"|$483.82|$0.02|-$0.37
Radeon VII|Feb 2019|"1.40 kh/s
                
                  RandomX · 170W"|$1,899.95|$0.03|-$0.38
GeForce RTX 2080 Ti|Sep 2018|"1.38 kh/s
                
                  RandomX · 190W"|$1,299.99|$0.03|-$0.43
GeForce RTX 3080 LHR|Jun 2021|"1.50 kh/s
                
                  RandomX · 250W"||$0.03|-$0.57
GeForce RTX 3080|Sep 2020|"1.50 kh/s
                
                  RandomX · 250W"|$1,892.75|$0.03|-$0.57
GeForce RTX 3090|Sep 2020|"2.00 kh/s
                
                  RandomX · 290W"|$1,815.73|$0.04|-$0.66
