Model|Release Date|Hashrate|Price|Revenue 24h|Profit 24h
Radeon RX 6600|Oct 2021|"28.50 Mh/s
                
                  Ethash4G · 60W"|$461.01|$0.03|-$0.11
Radeon RX 6650 XT|May 2022|"27.00 Mh/s
                
                  Ethash4G · 60W"|$254.28|$0.03|-$0.11
Radeon RX 6600 XT|Aug 2021|"32.00 Mh/s
                
                  Ethash4G · 70W"|$439.99|$0.04|-$0.13
GeForce RTX 4060 Ti|May 2023|"39.00 Mh/s
                
                  Ethash4G · 80W"|$439.99|$0.04|-$0.15
RTX A2000 6GB              (*)|Aug 2021|"39.00 Mh/s
                
                  Ethash4G · 80W"|$574.99|$0.04|-$0.15
GeForce RTX 4060|Jun 2023|"34.00 Mh/s
                
                  Ethash4G · 80W"|$299.99|$0.04|-$0.15
GeForce GTX 1660 Ti|Feb 2019|"28.00 Mh/s
                
                  Ethash4G · 80W"|$334.95|$0.03|-$0.16
GeForce RTX 3050              (*)|Jan 2022|"26.50 Mh/s
                
                  Ethash4G · 80W"|$169.99|$0.03|-$0.16
GeForce GTX 1660|Mar 2019|"24.00 Mh/s
                
                  Ethash4G · 80W"|$339.90|$0.03|-$0.16
Radeon RX 6750 XT|May 2022|"40.00 Mh/s
                
                  Ethash4G · 90W"|$399.99|$0.05|-$0.17
GeForce GTX 1050 Ti|Oct 2016|"13.00 Mh/s
                
                  Ethash4G · 80W"|$408.82|$0.01|-$0.18
GeForce GTX 1660 Super|Oct 2019|"29.30 Mh/s
                
                  Ethash4G · 90W"|$329.99|$0.03|-$0.18
Radeon RX 5500 XT 8GB|Dec 2019|"26.00 Mh/s
                
                  Ethash4G · 90W"|$181.29|$0.03|-$0.19
Radeon RX 6700 XT|Mar 2021|"46.00 Mh/s
                
                  Ethash4G · 100W"|$953.99|$0.05|-$0.19
GeForce GTX 1060 6GB|Oct 2016|"22.50 Mh/s
                
                  Ethash4G · 90W"|$329.80|$0.03|-$0.19
Radeon RX 6800 XT|Nov 2020|"62.00 Mh/s
                
                  Ethash4G · 110W"|$639.99|$0.07|-$0.19
Radeon RX 6800|Nov 2020|"61.00 Mh/s
                
                  Ethash4G · 110W"|$439.94|$0.07|-$0.20
GeForce RTX 4070 Ti|Jan 2023|"65.00 Mh/s
                
                  Ethash4G · 120W"|$909.03|$0.07|-$0.21
GeForce RTX 3060|Feb 2021|"41.00 Mh/s
                
                  Ethash4G · 110W"|$284.99|$0.05|-$0.22
Radeon RX 5600 XT|Jan 2020|"40.50 Mh/s
                
                  Ethash4G · 110W"|$545.00|$0.05|-$0.22
GeForce RTX 5060 Ti              (*)|Apr 2025|"59.00 Mh/s
                
                  Ethash4G · 120W"|$419.99|$0.07|-$0.22
GeForce RTX 5060              (*)|May 2025|"51.00 Mh/s
                
                  Ethash4G · 120W"|$299.99|$0.06|-$0.23
GeForce RTX 3060 LHR|Jun 2021|"48.00 Mh/s
                
                  Ethash4G · 120W"||$0.05|-$0.23
GeForce RTX 3060 Full Unlock|Feb 2021|"48.00 Mh/s
                
                  Ethash4G · 120W"||$0.05|-$0.23
GeForce RTX 2060 Super              (*)|Jul 2019|"41.00 Mh/s
                
                  Ethash4G · 120W"|$399.99|$0.05|-$0.24
GeForce RTX 3070 LHR|Jun 2021|"60.00 Mh/s
                
                  Ethash4G · 130W"||$0.07|-$0.24
GeForce RTX 3070|Oct 2020|"60.00 Mh/s
                
                  Ethash4G · 130W"|$500.00|$0.07|-$0.24
Radeon RX 5700|Jul 2019|"55.00 Mh/s
                
                  Ethash4G · 130W"|$309.99|$0.06|-$0.25
Radeon RX 5700 XT|Jul 2019|"55.00 Mh/s
                
                  Ethash4G · 130W"|$488.33|$0.06|-$0.25
GeForce RTX 2060|Jan 2019|"31.00 Mh/s
                
                  Ethash4G · 120W"|$361.14|$0.03|-$0.25
Radeon RX 570 8GB|Apr 2017|"27.90 Mh/s
                
                  Ethash4G · 120W"|$388.99|$0.03|-$0.26
Radeon RX 470 8GB|Aug 2016|"26.00 Mh/s
                
                  Ethash4G · 120W"||$0.03|-$0.26
GeForce RTX 5070 Ti              (*)|Feb 2025|"88.00 Mh/s
                
                  Ethash4G · 150W"|$779.99|$0.10|-$0.26
GeForce RTX 4070|Apr 2023|"62.00 Mh/s
                
                  Ethash4G · 140W"|$634.49|$0.07|-$0.27
GeForce RTX 3060 Ti LHR|Jun 2021|"60.00 Mh/s
                
                  Ethash4G · 140W"||$0.07|-$0.27
