Start,End,Open,High,Low,Close,Volume,Market Cap
2025-08-01,2025-08-02,307.6286,308.1125,296.2895,297.9526,171250170.16027874,5607883895.414634
2025-07-31,2025-08-01,309.1635,317.7429,303.5333,305.7622,185770543.60278746,5719537056.010453
2025-07-30,2025-07-31,313.2862,317.7343,303.7287,308.6857,184782466.6968641,5739572559.707317
2025-07-29,2025-07-30,315.0168,324.7103,313.0279,314.0963,196959098.5261324,5871906500.017422
2025-07-28,2025-07-29,324.889,331.1622,314.9982,314.9982,176643247.5052265,5973212406.275261
2025-07-27,2025-07-28,322.3556,328.829,321.3277,325.3763,155490503.61672473,5974809887.860627
2025-07-26,2025-07-27,321.7918,328.9164,319.7173,321.6642,180091681.67247388,5971339354.752613
2025-07-25,2025-07-26,326.389,337.9103,319.1826,321.7922,289750313.67247385,6019927808.679442
2025-07-24,2025-07-25,314.0457,327.7643,310.1155,325.964,201599316.73867595,5907806132.891986
2025-07-23,2025-07-24,324.8731,328.3782,309.5413,313.6248,180863481.6445993,5924415214.885017
2025-07-22,2025-07-23,319.5715,326.2637,315.5637,324.2887,186184181.20905924,5934990206.1986065
2025-07-21,2025-07-22,325.2908,331.3096,313.0065,320.2197,140480503.5609756,5969857374.142858
2025-07-20,2025-07-21,323.0768,329.2692,322.6737,325.7481,107423587.81184669,6020727375.376307
2025-07-19,2025-07-20,321.693,327.9532,317.8498,322.8565,142826524.83972126,5977652274.045296
2025-07-18,2025-07-19,337.8454,340.2584,317.7277,322.0627,206431434.70383275,6107360722.114983
2025-07-17,2025-07-18,331.5564,344.8771,330.6386,337.9636,192298871.19512194,6224880937.191638
2025-07-16,2025-07-17,334.3035,337.606,325.8037,331.5116,180118129.61672473,6135829215.905923
2025-07-15,2025-07-16,344.1974,344.9898,332.2991,335.0766,202803641.7944251,6213443081.700349
2025-07-14,2025-07-15,336.4002,357.1217,336.4002,344.4374,198106241.55052266,6376667174.815331
2025-07-13,2025-07-14,332.7614,341.0267,330.0446,336.2216,130875776.81881534,6201683102.407665
2025-07-12,2025-07-13,330.4621,334.8498,325.8248,332.2111,177432741.46341464,6105441997.20209
2025-07-11,2025-07-12,325.6529,331.6077,322.9444,329.1412,203303230.37979093,6046146789.480836
2025-07-10,2025-07-11,325.7334,329.3038,321.1363,326.2355,190646988.41811848,6007843404.445993
2025-07-09,2025-07-10,317.2811,326.6241,314.2616,325.5991,188302759.4216028,5902360763.313589
2025-07-08,2025-07-09,316.6653,320.0242,309.9922,316.8561,167384829.97212544,5804972572.749129
2025-07-07,2025-07-08,319.5253,324.9768,313.881,315.8719,145478074.89473686,5882519596.585965
2025-07-06,2025-07-07,319.9337,321.7845,312.8085,319.5451,106064813.69686411,5866028531.832752
2025-07-05,2025-07-06,317.6976,320.2743,311.5391,320.0331,110450316.1533101,5826533564.236934
2025-07-04,2025-07-05,321.3717,323.4641,312.7395,313.7984,162481675.58536586,5883398198.118467
2025-07-03,2025-07-04,323.3185,336.727,316.3819,321.2268,193010735.36236933,5959449496.243902
2025-07-02,2025-07-03,310.9226,325.972,310.5593,322.1033,175004406.22996515,5888185905.923345
2025-07-01,2025-07-02,325.368,325.368,310.5107,311.5136,169462669.4703833,5859045230.850174
2025-06-30,2025-07-01,313.8061,325.691,311.6269,324.7395,138697320.33449477,5833801279.376307
2025-06-29,2025-06-30,310.4697,322.9457,306.6453,313.3801,170803167.58885017,5784605136.972125
2025-06-28,2025-06-29,308.2362,316.0879,304.0094,311.0443,155993036.66550523,5703469935.543554
2025-06-27,2025-06-28,311.889,312.7003,303.4677,307.7128,132286605.79442509,5699876561.170732
2025-06-26,2025-06-27,311.7856,319.7564,309.3014,312.2077,151256275.09756097,5789431820.752613
2025-06-25,2025-06-26,314.5943,321.9763,311.3621,311.3621,132144296.50522648,5830271504.505226
2025-06-24,2025-06-25,310.8647,319.2843,306.8789,314.1939,155918603.09059232,5790199333.790941
2025-06-23,2025-06-24,297.8994,310.6496,294.2429,310.6496,119679476.61324042,5586559343.54007
2025-06-22,2025-06-23,309.3081,313.8432,289.8309,296.5546,103426753.65505226,5612111799.135888
2025-06-21,2025-06-22,310.2526,317.5358,307.0258,307.9503,104545586.36585365,5781554051.891986
