date,price,gpu_name
2023-10-21,,Asus PRIME OC Radeon RX 9070 16 GB Video Card (prime-rx9070-o16g) - PCPartPicker
2023-10-22,,Asus PRIME OC Radeon RX 9070 16 GB Video Card (prime-rx9070-o16g) - PCPartPicker
2023-10-23,,Asus PRIME OC Radeon RX 9070 16 GB Video Card (prime-rx9070-o16g) - PCPartPicker
2023-10-24,,Asus PRIME OC Radeon RX 9070 16 GB Video Card (prime-rx9070-o16g) - PCPartPicker
2023-10-25,,Asus PRIME OC Radeon RX 9070 16 GB Video Card (prime-rx9070-o16g) - PCPartPicker
2023-10-26,,Asus PRIME OC Radeon RX 9070 16 GB Video Card (prime-rx9070-o16g) - PCPartPicker
2023-10-27,,Asus PRIME OC Radeon RX 9070 16 GB Video Card (prime-rx9070-o16g) - PCPartPicker
2023-10-28,,Asus PRIME OC Radeon RX 9070 16 GB Video Card (prime-rx9070-o16g) - PCPartPicker
2023-10-29,,Asus PRIME OC Radeon RX 9070 16 GB Video Card (prime-rx9070-o16g) - PCPartPicker
2023-10-30,,Asus PRIME OC Radeon RX 9070 16 GB Video Card (prime-rx9070-o16g) - PCPartPicker
2023-10-31,,Asus PRIME OC Radeon RX 9070 16 GB Video Card (prime-rx9070-o16g) - PCPartPicker
2023-11-01,,Asus PRIME OC Radeon RX 9070 16 GB Video Card (prime-rx9070-o16g) - PCPartPicker
2023-11-02,,Asus PRIME OC Radeon RX 9070 16 GB Video Card (prime-rx9070-o16g) - PCPartPicker
2023-11-03,,Asus PRIME OC Radeon RX 9070 16 GB Video Card (prime-rx9070-o16g) - PCPartPicker
2023-11-04,,Asus PRIME OC Radeon RX 9070 16 GB Video Card (prime-rx9070-o16g) - PCPartPicker
2023-11-05,,Asus PRIME OC Radeon RX 9070 16 GB Video Card (prime-rx9070-o16g) - PCPartPicker
2023-11-06,,Asus PRIME OC Radeon RX 9070 16 GB Video Card (prime-rx9070-o16g) - PCPartPicker
2023-11-07,,Asus PRIME OC Radeon RX 9070 16 GB Video Card (prime-rx9070-o16g) - PCPartPicker
2023-11-08,,Asus PRIME OC Radeon RX 9070 16 GB Video Card (prime-rx9070-o16g) - PCPartPicker
2023-11-09,,Asus PRIME OC Radeon RX 9070 16 GB Video Card (prime-rx9070-o16g) - PCPartPicker
2023-11-10,,Asus PRIME OC Radeon RX 9070 16 GB Video Card (prime-rx9070-o16g) - PCPartPicker
2023-11-11,,Asus PRIME OC Radeon RX 9070 16 GB Video Card (prime-rx9070-o16g) - PCPartPicker
2023-11-12,,Asus PRIME OC Radeon RX 9070 16 GB Video Card (prime-rx9070-o16g) - PCPartPicker
2023-11-13,,Asus PRIME OC Radeon RX 9070 16 GB Video Card (prime-rx9070-o16g) - PCPartPicker
2023-11-14,,Asus PRIME OC Radeon RX 9070 16 GB Video Card (prime-rx9070-o16g) - PCPartPicker
2023-11-15,,Asus PRIME OC Radeon RX 9070 16 GB Video Card (prime-rx9070-o16g) - PCPartPicker
2023-11-16,,Asus PRIME OC Radeon RX 9070 16 GB Video Card (prime-rx9070-o16g) - PCPartPicker
