date,price,gpu_name
2023-10-21,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-10-22,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-10-23,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-10-24,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-10-25,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-10-26,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-10-27,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-10-28,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-10-29,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-10-30,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-10-31,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-11-01,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-11-02,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-11-03,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-11-04,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-11-05,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-11-06,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-11-07,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-11-08,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-11-09,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-11-10,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-11-11,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-11-12,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-11-13,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-11-14,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-11-15,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-11-16,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-11-17,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-11-18,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-11-19,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-11-20,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-11-21,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-11-22,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-11-23,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-11-24,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-11-25,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-11-26,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-11-27,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-11-28,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-11-29,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-11-30,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-12-01,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-12-02,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-12-03,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-12-04,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-12-05,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-12-06,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-12-07,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-12-08,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-12-09,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-12-10,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-12-11,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-12-12,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-12-13,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-12-14,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-12-15,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-12-16,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-12-17,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-12-18,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-12-19,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-12-20,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
2023-12-21,,PowerColor RX7800XT 16G-P Radeon RX 7800 XT 16 GB Video Card (RX7800XT 16G-P) - PCPartPicker
