date,price,gpu_name
2023-10-21,,XFX Speedster MERC 310 Black Edition Radeon RX 7900 XTX 24 GB Video Card (RX-79XMERCB9) - PCPartPicker
2023-10-22,,XFX Speedster MERC 310 Black Edition Radeon RX 7900 XTX 24 GB Video Card (RX-79XMERCB9) - PCPartPicker
2023-10-23,,XFX Speedster MERC 310 Black Edition Radeon RX 7900 XTX 24 GB Video Card (RX-79XMERCB9) - PCPartPicker
2023-10-24,979.99,XFX Speedster MERC 310 Black Edition Radeon RX 7900 XTX 24 GB Video Card (RX-79XMERCB9) - PCPartPicker
2023-10-25,979.99,XFX Speedster MERC 310 Black Edition Radeon RX 7900 XTX 24 GB Video Card (RX-79XMERCB9) - PCPartPicker
2023-10-26,979.99,XFX Speedster MERC 310 Black Edition Radeon RX 7900 XTX 24 GB Video Card (RX-79XMERCB9) - PCPartPicker
2023-10-27,979.99,XFX Speedster MERC 310 Black Edition Radeon RX 7900 XTX 24 GB Video Card (RX-79XMERCB9) - PCPartPicker
2023-10-28,979.99,XFX Speedster MERC 310 Black Edition Radeon RX 7900 XTX 24 GB Video Card (RX-79XMERCB9) - PCPartPicker
2023-10-29,979.99,XFX Speedster MERC 310 Black Edition Radeon RX 7900 XTX 24 GB Video Card (RX-79XMERCB9) - PCPartPicker
2023-10-30,979.99,XFX Speedster MERC 310 Black Edition Radeon RX 7900 XTX 24 GB Video Card (RX-79XMERCB9) - PCPartPicker
2023-10-31,979.99,XFX Speedster MERC 310 Black Edition Radeon RX 7900 XTX 24 GB Video Card (RX-79XMERCB9) - PCPartPicker
2023-11-01,979.99,XFX Speedster MERC 310 Black Edition Radeon RX 7900 XTX 24 GB Video Card (RX-79XMERCB9) - PCPartPicker
2023-11-02,979.99,XFX Speedster MERC 310 Black Edition Radeon RX 7900 XTX 24 GB Video Card (RX-79XMERCB9) - PCPartPicker
2023-11-03,979.99,XFX Speedster MERC 310 Black Edition Radeon RX 7900 XTX 24 GB Video Card (RX-79XMERCB9) - PCPartPicker
2023-11-04,979.99,XFX Speedster MERC 310 Black Edition Radeon RX 7900 XTX 24 GB Video Card (RX-79XMERCB9) - PCPartPicker
2023-11-05,979.99,XFX Speedster MERC 310 Black Edition Radeon RX 7900 XTX 24 GB Video Card (RX-79XMERCB9) - PCPartPicker
2023-11-06,984.335,XFX Speedster MERC 310 Black Edition Radeon RX 7900 XTX 24 GB Video Card (RX-79XMERCB9) - PCPartPicker
2023-11-07,984.335,XFX Speedster MERC 310 Black Edition Radeon RX 7900 XTX 24 GB Video Card (RX-79XMERCB9) - PCPartPicker
2023-11-08,984.335,XFX Speedster MERC 310 Black Edition Radeon RX 7900 XTX 24 GB Video Card (RX-79XMERCB9) - PCPartPicker
2023-11-09,984.335,XFX Speedster MERC 310 Black Edition Radeon RX 7900 XTX 24 GB Video Card (RX-79XMERCB9) - PCPartPicker
2023-11-10,984.335,XFX Speedster MERC 310 Black Edition Radeon RX 7900 XTX 24 GB Video Card (RX-79XMERCB9) - PCPartPicker
